Launch Site,Payload Mass (kg),class,BoosterVersionCategory
CCAFS SLC 40,6104.959411764706,0,v1.0
CCAFS SLC 40,525.0,0,v1.0
CCAFS SLC 40,677.0,0,v1.0
VAFB SLC 4E,500.0,0,v1.1
CCAFS SLC 40,3170.0,0,v1.1
CCAFS SLC 40,3325.0,0,v1.1
CCAFS SLC 40,2296.0,1,v1.1
CCAFS SLC 40,1316.0,1,v1.1
CCAFS SLC 40,4535.0,0,v1.1
CCAFS SLC 40,4428.0,0,v1.1
CCAFS SLC 40,2216.0,0,v1.1
CCAFS SLC 40,2395.0,0,v1.1
CCAFS SLC 40,570.0,1,v1.1
CCAFS SLC 40,1898.0,0,v1.1
CCAFS SLC 40,4707.0,0,v1.1
CCAFS SLC 40,2477.0,0,v1.1
CCAFS SLC 40,2034.0,1,v1.1
VAFB SLC 4E,553.0,0,v1.1
CCAFS SLC 40,5271.0,0,v1.1
CCAFS SLC 40,3136.0,1,v1.1
CCAFS SLC 40,4696.0,1,FT
CCAFS SLC 40,3100.0,1,FT
CCAFS SLC 40,2257.0,1,FT
CCAFS SLC 40,4600.0,1,FT
CCAFS SLC 40,5500.0,0,FT
VAFB SLC 4E,9600.0,1,FT
KSC LC 39A,2490.0,1,FT
KSC LC 39A,5600.0,0,FT
KSC LC 39A,5300.0,1,v1.1
KSC LC 39A,6104.959411764706,1,B4
KSC LC 39A,6070.0,0,B4
KSC LC 39A,2708.0,1,B4
KSC LC 39A,3669.0,1,FT
VAFB SLC 4E,9600.0,1,B4
KSC LC 39A,6761.0,0,B4
KSC LC 39A,2910.0,1,B4
VAFB SLC 4E,475.0,1,B4
KSC LC 39A,4990.0,1,B4
VAFB SLC 4E,9600.0,1,B4
KSC LC 39A,5200.0,1,FT
KSC LC 39A,3700.0,1,B4
CCAFS SLC 40,2205.0,1,B4
VAFB SLC 4E,9600.0,1,B4
CCAFS SLC 40,6104.959411764706,1,B4
CCAFS SLC 40,4230.0,1,B4
CCAFS SLC 40,6092.0,0,B4
VAFB SLC 4E,9600.0,0,B4
CCAFS SLC 40,2760.0,0,B4
CCAFS SLC 40,350.0,1,B4
KSC LC 39A,3750.0,1,B4
CCAFS SLC 40,5383.85,0,B4
CCAFS SLC 40,2410.0,0,B4
CCAFS SLC 40,7076.0,1,B4
VAFB SLC 4E,9600.0,1,B5
CCAFS SLC 40,5800.0,1,B4
CCAFS SLC 40,7060.0,1,B5
VAFB SLC 4E,2800.0,1,B5
KSC LC 39A,3000.0,1,B4
VAFB SLC 4E,4000.0,1,B4
CCAFS SLC 40,2573.0,0,B5
CCAFS SLC 40,4400.0,0,B5
VAFB SLC 4E,9600.0,1,B5
KSC LC 39A,12259.0,1,B5
CCAFS SLC 40,2482.0,1,B5
CCAFS SLC 40,13620.0,1,B5
VAFB SLC 4E,1425.0,1,B5
CCAFS SLC 40,2227.7,1,B5
CCAFS SLC 40,6500.0,0,B4
CCAFS SLC 40,15600.0,1,B5
CCAFS SLC 40,5000.0,1,B5
CCAFS SLC 40,6800.0,1,B5
CCAFS SLC 40,15400.0,1,B5
KSC LC 39A,6104.959411764706,0,B4
CCAFS SLC 40,15600.0,1,B5
CCAFS SLC 40,15400.0,0,B5
CCAFS SLC 40,1977.0,1,B5
KSC LC 39A,15600.0,0,B5
KSC LC 39A,15400.0,1,B5
KSC LC 39A,9525.0,1,B5
CCAFS SLC 40,15400.0,1,B5
CCAFS SLC 40,15400.0,1,B5
CCAFS SLC 40,3880.0,1,B5
CCAFS SLC 40,6104.959411764706,1,B5
CCAFS SLC 40,15400.0,1,B5
CCAFS SLC 40,1600.0,1,B5
KSC LC 39A,15400.0,1,B5
KSC LC 39A,15400.0,1,B5
KSC LC 39A,15400.0,1,B5
CCAFS SLC 40,15400.0,1,B5
CCAFS SLC 40,3681.0,1,B5
